296s, 65;
574s, 16 73 62 66 31 87 61 48 7 11 62 33;
574l, 16 90 31 51 31 32 19 87 7 33 6 35;
575s, 85 76 31 58 70 45 23 87 7 78;
575l, 79 11 31 62 65 87 65 33 7 78;
576s, 20 57 48 66 30 24 90 32 48 12 5 24 77 7 65 70 36;
576l, 59 24 48 19 17 57 68 59 62 23 5 50 71 7 37 49 36;
577s, 70 57 23 48 31 70 26 85 70 65 91 66 5 7 6 23 70 65;
577l, 46 24 18 62 53 19 90 85 59 70 3 87 54 7 62 19 20 70;
578s, 49 66 23 27 47 87 84 35 19 19 36 70 65 51 59 37 66 7;
578l, 24 66 53 12 47 76 50 17 6 19 71 49 70 51 34 16 78 7;
579s, 5 37 23 47 52 43 65 49 62 49 7 19 60 61 52;
579l, 67 31 12 24 21 34 34 61 31 19 7 84 61 50 17;
580s, 48 45 11 70 31 57 61 49 77 20;
580l, 87 45 19 6 61 24 50 24 77 65;
581s, 76 89 82 51 76 21 34 17 24;
581l, 33 84 82 76 76 23 51 24 32;
582s, 70 34 88 82 56 52 48 7 52 31 35 7;
582l, 65 20 17 82 23 65 87 84 34 20 33 34;
583s, 48 46 35 58 24 6 35 65 73 21 31 35 59 78 32 88 85;
583l, 48 24 27 18 71 85 32 59 9 21 31 35 66 78 33 37 48;
584s, 49 35 70 82 12 35 78 44 35 23;
584l, 44 67 20 82 35 32 36 71 33 23;
585s, 51 35 87 58 66 43 16 52 76 4 18 51 7 21 36 34;
585l, 56 49 6 58 16 2 20 31 74 12 79 34 78 21 49 65;
586s, 20 88 65 49 35 87 66 20 66 70 6;
586l, 49 36 34 55 33 87 65 31 65 70 11;
587s, 31 33 35 12 34 33 32 20 66 31;
587l, 58 44 49 58 67 35 84 20 66 6;
588s, 20 61 2 7 76 51 5 32 27 33 70 26 2;
588l, 31 27 5 34 55 79 70 32 71 35 6 90 65;
589s, 31 24 70 31 24 35 31 27 85 7 57 20 24 30 34;
589l, 74 23 65 70 57 55 24 32 85 34 57 21 57 71 66;
590s, 52 27 70 32 33 19 87 11 20 78 70 53 49 27 70 2;
590l, 48 19 79 74 49 31 87 61 50 75 88 23 55 21 19 51;
591s, 6 65 41 56 65 5 49 56 71 58 65 78;
591l, 33 66 54 56 21 70 31 16 70 58 53 7;
592s, 65 34 66 6 34 85 48 53 79 54 31 5 85 34;
592l, 44 43 37 31 34 61 33 53 79 41 49 50 87 34;
593s, 5 58 32 23 32 65 33 35 17 34 76 14 24 58;
593l, 70 67 2 77 21 53 35 76 65 70 32 16 56 65;
594s, 70 49 23 90 70 49 76 17 21 33 62 12 32 5 3 55 50;
594l, 51 18 71 73 51 11 76 71 76 31 31 49 35 67 17 32 57;
595s, 20 37 71 12 58 62 84 71;
595l, 32 49 76 32 89 6 84 12;
596s, 12 31 89 44 70 21 87 48 23 74 78 61 35 74;
596l, 75 18 87 7 88 84 44 48 27 71 34 57 49 71;
597s, 85 24 70 49 66 70 35 32 70 70 90 23 90 23;
597l, 23 55 62 69 18 17 33 31 31 34 73 55 72 44;
598s, 24 56 12 27 51 52 29 32 52 71 32 19 35;
598l, 6 21 76 27 11 31 92 12 31 49 23 19 33;
599s, 71 76 5 19;
599l, 31 65 67 31;
600s, 58 17 5 23 85 6 34 55 58;
600l, 34 17 7 32 34 44 34 31 58;
601s, 85 70 17 6 75 23 16 31 14 34 31 71 48 49 70 23 73;
601l, 31 65 30 21 31 20 44 31 17 51 31 24 57 76 70 20 26;
602s, 67 33 37 43 2 35 6 31 76 32 6 20;
602l, 18 27 20 19 27 33 76 77 31 31 62 49;
603s, 5 88 7 5 17 11 76 48 34 23 65 34;
603l, 49 88 76 65 62 23 76 23 61 53 5 12;
604s, 70 11 5 12 7 59 23 87 62 71;
604l, 20 87 5 76 7 70 23 23 85 31;
605s, 55 19 85 59 45 7 67 31 25 49 48 76;
605l, 17 19 49 58 87 7 56 31 69 61 52 76;
606s, 12 20 19 75 7 65 76 87 23 5;
606l, 44 48 79 84 7 37 35 62 35 34;
607s, 82 20 72 33 12 75 35 77 88 27 53 70 50 76 53 11;
607l, 82 46 90 33 76 31 34 77 70 37 65 70 16 14 20 45;
608s, 35 19 11 12 21 49 7 35 36 48 49 19 5;
608l, 35 31 58 76 21 2 7 12 70 18 49 24 76;
609s, 82 79 53 18 59 34 76 57 77 5 20 58 65 33;
609l, 82 79 53 6 17 88 35 57 48 31 31 67 49 35;
610s, 49 7 59 79 41 34 35 57 76 33 52 65 27 58 66;
610l, 49 7 2 79 71 52 35 24 17 35 34 75 55 20 18;
611s, 6 59 23 5 34 67 44 31 77 31;
611l, 43 2 89 88 43 2 19 17 34 19;
612s, 31 35 87 51 35 71 12 45 67 65;
612l, 15 23 27 77 12 31 12 31 66 37;
613s, 21 11 34 34 11 51 71 84 87 55 44 77 34 55 23 34 65 56 31 58 70 5 19;
613l, 65 74 43 35 52 70 3 32 31 17 49 24 70 55 23 70 37 23 88 52 51 31 19;
614s, 31 6 31 79 85 75 31 65 51;
614l, 33 11 24 32 70 19 16 24 67;
615s, 7 37 32 75 65 76 90 62 26 27 70 35 71 11;
615l, 7 66 87 75 65 49 73 65 54 19 32 31 50 11;
616s, 20 7 19 75 31 35 16 34 43 66 35 41 58;
616l, 5 7 24 66 32 49 85 45 48 43 55 23 88;
617s, 22 35 19 27 32 20 2 23 21 65;
617l, 19 33 65 65 31 17 34 76 52 78;
618s, 62 27 66 26 35 68 21 55 76 75 65 5 59 62 71 53 70 84;
618l, 62 55 31 90 12 72 6 32 70 85 76 7 34 21 17 34 31 31;
619s, 24 79 31 21 34 71 7 18 55 87 58 16 12;
619l, 91 18 36 62 34 74 24 18 55 57 21 16 12;
620s, 77 51 79 66 76 37 34 55 62 12 70;
620l, 77 51 85 11 31 34 34 51 62 76 62;
621s, 14 51 62 18 76 59 76 33 24 51 34 85 71 6;
621l, 23 2 23 88 35 44 12 49 57 37 20 23 24 24;
622s, 55 53 70 14 34 70 49 24 55 65 78;
622l, 61 31 20 6 74 19 71 23 7 32 56;
623s, 62 17 19 33 21 57 20;
623l, 18 44 77 55 65 24 51;
624s, 41 89 31 5 32 34 27 53 50 90 20 32 85;
624l, 41 46 21 17 35 85 31 37 71 68 19 35 57;
625s, 32 33 23 22 51 65 79 89 65 87 34 31 65 70 84 34 49;
625l, 85 35 87 44 23 65 51 89 34 48 24 74 35 62 19 24 70;
626s, 23 89 65 55 31 20 12 55;
626l, 65 85 71 88 16 62 12 65;
627s, 18 34 19 34 56 87 48 31 55 53 24 66 11 23;
627l, 18 7 32 7 56 59 48 45 76 53 35 59 6 27;
628s, 76 59 23 21 34 65 19 31 6 49 87 70 65 59 43 24 31;
628l, 35 56 57 19 3 48 53 53 76 49 62 67 5 70 32 71 65;
629s, 58 5 79 27 24 49 46 87 52 58 33 65 32 34 70 35 76 20 51;
629l, 65 23 70 23 27 74 16 48 34 58 49 34 12 34 23 35 31 20 23;
630s, 49 91 89 23 50 34 55 18;
630l, 6 27 31 23 71 37 32 31;
631s, 24 21 31 58 50 34 21 70 2 1 70 84 20 21 54 35 55;
631l, 32 53 3 70 32 37 17 16 2 6 2 53 20 50 54 76 34;
632s, 91 53 35 89 37 33 26 24 44 2 31 20 54 48 52 19 31 75 33 23;
632l, 24 34 76 32 12 76 90 65 68 5 65 53 60 48 34 20 65 79 35 76;
633s, 37 8 23 16 65 79 76 70 65 18 66 21;
633l, 76 19 31 44 20 48 67 20 87 48 66 65;
634s, 8 20 23 32 37 53 31 6 54 31;
634l, 82 17 23 57 76 34 16 62 23 32;
635s, 21 89 23 49 19 24 87 2 20 66 23 11 24 49 20 2 35;
635l, 6 32 31 19 70 71 48 58 20 31 17 85 71 35 49 2 49;
636s, 87 34 62 12 7 58 20 90 85 17 85 31 24 6 87 55 32 17 49 70 76 57;
636l, 44 43 67 49 7 65 44 73 61 2 21 77 23 3 45 55 70 17 49 65 11 3;
637s, 36 44 34 31 66 55 23 6 35 55 6 23;
637l, 34 31 67 31 24 24 31 87 33 33 87 31;
638s, 7 23 49 24 85 12 82 24 20 19 65 65 23 20 65;
638l, 7 37 51 57 51 12 82 70 34 31 31 48 49 49 6;
639s, 46 65 65 18 34 35 7 87 31 65 26 55 6 65 59 6 23;
639l, 85 65 70 32 2 33 55 6 17 70 26 49 31 58 58 61 53;
640s, 6 54 34 65 31 59 6 85 21 52 65 76 35;
640l, 16 25 31 56 34 51 23 70 62 65 70 35 33;
641s, 27 87 55 65 20 49 45 61 70;
641l, 27 49 55 21 19 70 35 31 77;
642s, 20 66 70 26 49 32 26 77 31;
642l, 32 66 31 38 31 32 38 55 61;
643s, 24 53 20 61 35 90 49 12 65 78 50 52 79 48 85 87;
643l, 87 65 62 89 31 68 34 33 55 7 58 84 31 6 18 87;
644s, 24 34 7 19 31 67 77 87 37 11 85;
644l, 32 55 7 11 65 67 55 48 87 37 34;
645s, 34 32 46 20 34 23 49 85 7 44 31 67 58 49 31 87;
645l, 52 12 50 6 49 52 45 84 44 44 48 67 34 31 48 48;
646s, 23 27 20 87 21 33 31 32 19 32 23 34 37 52;
646l, 30 18 65 87 18 35 49 12 22 49 17 65 34 48;
647s, 2 35 21 7 20 61 68 31 65 48 5 68 33 50;
647l, 70 49 84 7 70 87 90 46 31 87 67 68 21 71;
648s, 58 65 7 37 33 24 59 87 44;
648l, 58 37 7 37 35 71 34 45 31;
649s, 3 87 33 49 7 21 58 87 49 37 7 12 68 52 33 23 70 87;
649l, 57 85 56 44 7 7 33 84 17 14 7 12 90 53 56 74 53 79;
650s, 34 35 24 31 34 87 7 62 33;
650l, 65 49 31 58 65 45 23 87 32;
651s, 24 58 21 75 2 7 87 76 20 32 65 71;
651l, 44 61 23 79 61 23 48 77 31 46 52 24;
652s, 58 70 51 61 7;
652l, 34 31 57 65 55;
653s, 33 32 77 7 31 70 50 7 61 58 34 75;
653l, 79 35 77 7 53 33 21 7 85 65 34 31;
654s, 79 57 34 87 7 33 74 8 20 7 58;
654l, 44 6 27 24 7 67 61 38 70 84 31;
655s, 35 66 65 65 70 32 76;
655l, 2 66 5 62 70 5 32;
656s, 24 85 3 32 46 35 37 48 21 85 11;
656l, 23 31 31 76 55 55 65 5 65 85 11;
657s, 61 23 59 76 50 53 34 24 19 7 20 65 49 52 11;
657l, 49 31 65 76 50 20 51 12 84 78 20 77 51 65 89;
658s, 11 90 37 70 5 33 31 35 17 87;
658l, 76 68 49 49 65 7 53 76 17 44;
659s, 48 24 52 26 68 66 31 35 76 35 65 32 35 65;
659l, 20 57 65 54 90 88 31 76 49 35 62 87 55 62;
660s, 85 24 87 59 33 46 35;
660l, 45 24 49 57 49 31 12;
661s, 49 48 65 20 53 73 32 87 19;
661l, 31 17 67 65 56 92 45 65 19;
662s, 52 6 53 24 53 16 70 17 70 35 79;
662l, 85 6 79 57 53 34 6 6 65 55 11;
663s, 16 24 20 53 65 20 45 34 16 56 61 58 49 58 51 32 6 61;
663l, 31 32 20 21 61 70 11 19 70 23 75 32 76 32 19 27 71 31;
664s, 52 76 76 70 7 12 43 35 16 58 76 32 6;
664l, 70 17 17 65 7 12 20 19 23 23 62 20 7;
665s, 27 53 56 32 17 34 76 65 21 45 87 57 65 70 31;
665l, 19 31 16 89 31 7 35 85 87 45 21 75 19 65 16;
666s, 12 92 34 5 83 70 59 15 18 43 62;
666l, 76 92 66 51 83 65 31 54 21 70 37;
667s, 31 11 87 31 34 87 76 15 85;
667l, 56 20 6 16 70 6 76 15 23;
668s, 34 5 34 34 21 15 34 19;
668l, 84 61 11 53 65 41 34 7;
669s, 59 34 19 37 6 70 6 6;
669l, 34 84 34 48 20 70 6 6;
670s, 82 43 37 2 27 16 35 33 92 34 70 31 51;
670l, 82 31 45 7 20 23 76 34 8 34 65 44 32;
671s, 48 76 82 6 50 34;
671l, 46 23 92 45 79 34;
672s, 82 11 87 20 87 34 65 48 36 53 87 23 87 31 34 75 70 60 76;
672l, 92 21 44 65 62 34 70 87 20 31 87 19 87 23 70 23 48 41 35;
673s, 31 16 7 49 27 17 34 35 81 70;
673l, 33 65 7 7 35 49 51 33 73 70;
674s, 16 24 66 7 59 19 43 65 34 87 53 51 81 62 50 72;
674l, 31 57 21 7 7 34 23 17 61 23 14 70 81 66 17 68;
675s, 88 44 89 23 11 66 7 34 3 55 65 23 12 20 2 55 87;
675l, 88 35 24 51 71 61 75 31 44 76 70 50 49 66 32 50 31;
676s, 89 88 31 50 51 31 41 88 49 70 81 90;
676l, 49 27 77 50 2 61 8 88 76 23 73 90;
677s, 36 50 88 91 24 27 48 48 24 17 48 19 35;
677l, 70 23 62 57 23 55 58 55 23 31 20 37 55;
678s, 79 48 88 56 76 49 91 17 61 20 48 19;
678l, 79 84 76 51 58 49 57 66 49 34 34 23;
679s, 79 74 11 31 79 70 88 11 61 71;
679l, 12 57 6 53 79 70 53 48 53 33;
680s, 62 37 32 79 65 35 79 45;
680l, 23 62 24 79 65 76 12 45;
681s, 49 52 24 21 12 51 58 17;
681l, 23 34 24 58 76 27 21 17;
682s, 79 16 17 17 38 70 51 8 17 24;
682l, 51 23 55 55 4 31 34 9 3 57;
683s, 88 34 57 24 66 21 33;
683l, 23 7 74 57 20 58 33;
684s, 61 34 76 20 19 33 15;
684l, 31 79 51 58 23 33 15;
685s, 31 87 34 70 31 12 34 51 33 34;
685l, 49 6 37 2 31 31 7 53 55 52;
686s, 65 44 87 7 32 31 34 55 24 62 33 67;
686l, 19 31 48 23 12 31 84 55 31 12 55 65;
687s, 49 31 17 87 87 56;
687l, 49 65 31 58 65 45;
688s, 31 65 49 34 18 71 24 71;
688l, 57 57 56 57 21 17 57 71;
689s, 34 58 77 31 54 76 62 37 48 71 2 74;
689l, 34 7 34 31 57 76 23 31 27 71 53 23;
690s, 32 31 35 31 49 68 20 37 17 62;
690l, 31 31 33 33 51 68 20 31 23 2;
691s, 85 32 21 35 31 34 68 31 34 77 75 53 73;
691l, 22 61 61 76 65 52 81 87 19 34 19 34 73;
692s, 34 6 31 49 65 19 7;
692l, 7 49 16 55 53 58 7;
693s, 76 70 33 90 49;
693l, 55 53 32 68 49;
694s, 50 87 59 51 32 23 16 55 90 61 49;
694l, 21 48 17 11 35 76 31 27 68 32 49;
695s, 31 23 12 67 43 55 6 23 7 16 35;
695l, 31 7 35 70 34 27 11 23 85 23 33;
696s, 65 49 87 53 31 24 70 31;
696l, 37 11 45 31 45 24 34 37;
697s, 45 65 37 52 24 57 88 23 24 48 71 70 23 34 48 24 23;
697l, 11 66 7 43 24 57 88 58 32 6 71 65 20 16 87 57 23;
698s, 44 6 24 34 19 24 87 70 51;
698l, 43 57 57 34 23 57 31 70 3;
699s, 53 55 31 79 18 17 23 71 7 20 32 71;
699l, 53 67 31 32 87 46 32 71 59 23 12 27;
700s, 55 7 31 57 84 65 5 87 65 34 70;
700l, 49 55 19 18 20 57 20 21 23 58 34;
701s, 51 53 34 6 34 20 87 20 35 61;
701l, 61 53 79 45 79 31 45 31 35 78;
702s, 34 92 5 19 33 21;
702l, 75 82 58 20 35 24;
703s, 65 32 49 20 31 23;
703l, 84 32 55 27 44 61;
704s, 32 18 34 20;
704l, 65 46 53 27;
705s, 61 27;
705l, 31 44;
706s, 19 49 41 37 35 6;
706l, 7 31 41 65 33 57;
707s, 31 65 51 32 51;
707l, 49 53 79 78 61;
708s, 68 34 44 34;
708l, 81 34 44 19;
709s, 35 49;
709l, 33 27;
710s, 34 55 37 78 35;
710l, 43 12 66 78 33;
711s, 36;
711l, 36;
712s, 39;
712l, 39;
714s, 27 16 12;
714l, 27 16 12;
715s, 1;
715l, 69;
716s, 74;
716l, 74;
717s, 71;
717l, 71;
780s, 32 34 55 89 18 23 17 20 91 71 33 55 49 56 89 62 21;
780l, 32 32 76 37 77 23 23 58 23 71 24 12 7 78 23 62 18;
781s, 27 34 71 32 33 75 70 55 76 57 20 55 34 16 43 71 33 2 85;
781l, 65 2 71 23 35 19 65 35 76 67 31 34 34 58 56 27 33 21 22;
782s, 33 23 33 44 49 31 23 70 31 61;
782l, 35 61 76 19 20 67 20 75 79 65;
783s, 70 35 31 79 77 34 48 62 17 61 85 35 55 32 12 50;
783l, 56 50 31 79 31 77 49 27 23 65 23 76 34 67 88 50;
784s, 65 20 58 55 31 14 57 32 32 27 84;
784l, 43 88 31 55 55 11 71 38 12 32 59;
785s, 35 51 73 49 35 61 73 12 62 76 5 4 16 17 50 20 24 23;
785l, 23 58 38 55 33 21 38 12 6 76 24 68 16 33 70 19 34 58;
786s, 53 19 90 30 57 70 21 31 5 27 12 24 5;
786l, 53 77 72 74 24 19 56 23 34 32 12 27 76;
787s, 61 79 87 23 65 76 62 65 16 49 24 31 12 48;
787l, 43 34 87 55 67 76 35 33 61 49 49 21 71 18;
788s, 27 53 32 31 35 65 58 17 54 19 27 35;
788l, 31 34 49 19 14 20 58 11 9 20 23 55;
789s, 19 5 34 11 27 32 72 21 44 31 51 33 31;
789l, 31 70 7 89 67 33 90 87 23 14 91 17 87;
790s, 5 34 50 49 33 27 34 5 35 11 24 84 35 31 71 6 78 58 35 57 45 6 73 23;
790l, 58 53 50 17 33 12 75 32 55 70 23 31 33 20 24 49 19 55 55 49 11 62 72 35;
791s, 48 20 6 31 50 31 51 58 71 5 23 87 27 51 55 84;
791l, 85 20 6 21 55 77 23 75 71 55 36 6 27 51 76 70;
792s, 49 39 55 34 12 35 49 11 61 32 84 74 76;
792l, 49 39 55 34 76 55 2 31 79 85 70 23 35;
793s, 34 45 87 51 76 6 49 23 87 12 57 71 87 84 70 87 51 7;
793l, 44 23 76 66 23 23 65 24 45 12 31 23 76 84 34 76 23 7;
794s, 20 89 66 74 19 17 75 54 71 6 61 48 85 23 31 48 84 51;
794l, 65 89 44 23 21 24 84 17 71 49 51 87 46 16 85 87 34 34;
795s, 19 34 12 57 35 15 76 24 50 6 34 57 31 67 6 7 73 2 35 37;
795l, 44 7 49 57 12 15 35 57 34 48 51 24 85 76 49 84 73 76 55 58;
796s, 19 35 57 87 23 84 89 31 65 33 17 73 33 49 24 82;
796l, 56 31 22 6 65 88 52 76 65 35 17 73 35 49 49 8;
797s, 5 7 32 61 19 5 50 6 49 73;
797l, 2 34 7 23 37 2 49 49 55 90;
798s, 21 44 2 34 7 51 17 54 20 19 17 4 55;
798l, 34 49 2 65 34 34 49 10 66 19 55 4 49;
799s, 65 12 31 71 21 17 48 49 19 53 16 4;
799l, 89 76 31 50 23 31 23 70 49 2 16 90;
800s, 65 12 34 65 24 49 70 87 31 56 44 19 24 68 70 77;
800l, 19 33 6 70 57 49 67 6 31 51 37 79 49 90 76 70;
801s, 31 36 89 6 34 6 24 73 76 57 31 19 6;
801l, 30 7 89 12 19 23 57 71 55 17 2 75 76;
802s, 32 31 53 73 6 89 48 76 73 76 50 25;
802l, 35 31 53 8 70 23 85 52 71 76 31 54;
803s, 85 31 75 71 53 24 21 65 92 33 44 12;
803l, 85 23 19 30 32 49 23 70 82 35 61 49;
804s, 59 34 32 31 35 23 87 34 17 50 58 18 23 74 6 23;
804l, 59 34 18 44 33 3 21 34 76 44 65 6 65 74 23 23;
805s, 21 52 23 74 34 31 59 89 34 61 76 58 21 76 23;
805l, 20 20 11 27 34 11 59 34 34 11 58 51 31 58 33;
806s, 17 91 73 67 24 35 49 16 35 21 52 20 31 1 20 31 23 34;
806l, 24 91 90 44 44 76 49 27 76 21 34 76 79 54 19 79 20 51;
807s, 59 34 70 19 66 34 33 87 76 76 33 34 49 54;
807l, 31 59 70 77 65 34 76 6 12 75 35 70 7 25;
808s, 65 53 1 43 57 48 55 49 76 33;
808l, 70 45 54 43 24 44 35 17 33 35;
809s, 34 76 87 45 33 71 68 7 70 35 57 35 23;
809l, 71 76 71 49 32 71 23 36 55 16 32 16 23;
810s, 55 33 35 34 65 66 12 49 70 7 89 32 12 24 34 74;
810l, 55 33 37 34 65 34 27 16 34 58 34 65 49 74 77 31;
811s, 77 34 76 79 31 32 57 33 26 76 27 56 24;
811l, 31 51 31 61 70 35 71 51 54 59 76 23 76;
812s, 5 6 27 87 31 57 79 21 71 65 34 33 70 57 14 72 2 87 34 31;
812l, 55 49 20 49 77 24 61 59 21 87 55 76 21 23 85 54 67 89 55 76;
813s, 7 79 23 50 34 18 35;
813l, 34 61 51 76 34 23 35;
814s, 24 6 73 91 55 15 76 12 19 77 17 6 23 34;
814l, 57 6 73 23 35 4 67 76 44 66 70 62 37 43;
815s, 90 62 34 44 5 58 24 66 34 23 49 55 34 21;
815l, 81 50 19 16 34 20 91 43 27 75 62 35 53 75;
816s, 91 45 20 76 31 16 35 65 51 34 54 70 21 51;
816l, 74 6 44 71 31 44 55 76 19 59 54 34 67 51;
817s, 70 43 20 54 70 36 89 23 66 71;
817l, 32 37 20 3 7 67 6 35 66 71;
818s, 35 30 45 85 43 49 36 54 23 27 25 17 37 34 23;
818l, 35 34 6 44 44 31 65 38 35 17 54 3 61 70 50;
819s, 45 61 49 23 71 20 23 49 65 23 17 20;
819l, 87 61 67 17 58 58 70 31 2 17 55 87;
820s, 31 35 48 31 85 84 67 31 5;
820l, 31 12 65 76 34 11 34 31 66;
821s, 75 50 16 87 43 31 49 90 77 32 24 19 84 71;
821l, 76 23 55 48 23 66 32 68 23 35 32 35 23 17;
822s, 20 18 7 52 15 27 53 12 71;
822l, 46 50 56 85 60 17 19 23 32;
823s, 71 12 34 90 44 37 31 4 75 58 59;
823l, 35 12 88 73 44 67 70 48 70 21 59;
824s, 53 12 6 31 50 79 23 19 8 33 87 58 76 21 23 19 34;
824l, 34 27 6 49 31 70 23 7 49 12 45 21 76 18 65 35 34;
825s, 12 59 44 57 65 48 27 21 34 70 17 76;
825l, 23 70 31 24 66 21 70 48 34 34 23 50;
826s, 49 7 68 32 33 23 90 21 21 34 33 76;
826l, 33 40 68 32 33 51 81 5 34 65 35 59;
827s, 23 19 65 6 2 58 23 55 33 32 44 23 41 59 19 37;
827l, 44 65 65 11 65 58 65 55 35 35 33 23 15 23 31 76;
828s, 67 35 89 27 45 43 62 18 33 48 19 70 77 68 3;
828l, 59 32 89 76 48 34 67 85 58 48 55 33 27 72 50;
829s, 75 21 35 11 21 89 17 23 91 49 32 84 77 33 18 55 67 75 76 8 70 71 6;
829l, 65 21 6 32 6 89 6 31 49 35 12 85 66 35 18 20 67 88 49 55 65 33 82;
830s, 51 89 65 31 34 53 55 66 6 65;
830l, 31 89 53 34 31 66 67 65 21 20;
831s, 12 73 19 33 32 53 76 31 77 16 32 67 76 68;
831l, 33 73 89 55 34 88 37 19 7 16 85 65 35 13;
832s, 33 87 61 62 31 44 73 56 33 49 72 19 21 2;
832l, 35 45 49 70 27 49 60 61 21 76 72 23 11 34;
833s, 71 11 12 48 32 79 7 48 67 34 73 49 66 55 58 5;
833l, 54 27 33 87 32 65 67 6 58 16 73 49 76 55 55 70;
834s, 23 74 70 20 2 32 54 50 31 77 91 34 49 32 90 32 5 21;
834l, 20 74 23 20 76 32 1 32 31 37 74 16 49 76 8 34 76 27;
835s, 70 5 66 17 6 62 54 45 52 76 17;
835l, 23 31 37 23 17 58 54 45 27 2 34;
836s, 53 58 31 6 85 91 23 43 61 54 76 85 2 62 34 21;
836l, 27 76 24 49 87 32 35 19 70 15 76 49 19 58 5 48;
837s, 7 76 33 11 48 34 27 55 61 73 34 4 21 6 34 21 35 20 55 76;
837l, 20 76 35 45 31 79 24 35 61 72 79 70 90 76 59 76 49 44 23 35;
838s, 12 34 61 18 85 21 34 76 87 33;
838l, 31 65 7 34 6 58 70 35 76 35;
839s, 32 19 51 87 35 49 58 35 34 53;
839l, 27 31 27 49 76 35 59 35 52 51;
840s, 11 70 34 11 7 75 76 49 17 65 61 19 62 55 76 71 34 27;
840l, 21 65 37 21 34 7 76 33 32 65 66 20 48 35 35 31 48 2;
841s, 30 66 76 34 31 35 34 7 31 70 89 76 51 33 67 35 62 65;
841l, 57 27 76 34 49 33 89 58 31 27 45 85 65 35 14 76 48 40;
842s, 61 65 44 31 34 55 65 34 16 34 85 12;
842l, 58 76 44 21 75 27 48 70 16 79 85 75;
843s, 21 34 35 77 17 85 48 59 21 37 19;
843l, 33 77 33 40 35 87 87 34 76 53 20;
844s, 77 52 65 58 48 75 31 35 53;
844l, 31 11 31 16 6 32 49 33 58;
845s, 49 37 61 31 34 55 53 35 17 23;
845l, 24 37 21 31 2 33 58 35 17 23;
846s, 57 79 59 70 76 77 35 23 14 76 49;
846l, 71 87 19 23 2 7 33 31 76 33 19;
847s, 31 34 65 24 35 14 49 65 74 49 66;
847l, 7 2 34 49 35 70 19 70 24 35 76;
848s, 73 33 48 45 73 17 70 23 10 49 38 19 49 67 55;
848l, 90 55 48 32 90 65 35 51 10 35 15 61 76 17 34;
849s, 84 2 32 16 87 67 49 89 50 49 21 10 51 66 34 24;
849l, 70 31 32 49 87 44 20 51 14 35 56 10 51 65 16 23;
850s, 52 65 62 48 76 45 51 58 35 19 85 58 34;
850l, 21 36 18 48 49 76 51 48 31 77 61 48 34;
851s, 78 32 2 70 53 76 59 32;
851l, 58 70 43 70 49 33 76 46;
852s, 5 76 49 79 11 23 85 3 79 5 62 31;
852l, 7 49 49 34 50 24 31 3 34 88 49 4;
853s, 58 88 22 65 3 56 65 79 5 19;
853l, 34 65 11 34 31 56 33 34 66 19;
854s, 49 34 88 27 88 45 7 2 27 19 70 87 66;
854l, 35 21 70 27 59 87 17 2 88 79 49 87 20;
855s, 71 88 77 43 71 5 71;
855l, 50 34 77 84 44 67 44;
856s, 76 49 53 31 70 23 70 59 48 6 51;
856l, 76 44 70 31 24 33 65 19 33 84 23;
857s, 89 70 5 57 31 27 50 70 6 81 12;
857l, 5 88 71 23 17 53 35 23 62 60 33;
858s, 88 7 34 45 3 82 17 29 21;
858l, 19 7 31 71 23 6 71 82 16;
859s, 53 44 65 67 46 34 32 82 19 34;
859l, 53 66 65 67 48 31 32 82 34 7;
860s, 27 66 53 70 24 35 87 23 20 34 70;
860l, 57 12 53 76 70 11 66 58 76 2 65;
861s, 79 31 87 12 34 72 23 67 32;
861l, 58 31 48 33 19 72 35 65 33;
862s, 21;
862l, 21;
863s, 31 84 65 70 32 87 34 33 62 31 2 74 34 61 74 62 52 85 33 35 53 19;
863l, 27 49 49 21 17 32 75 76 87 17 34 49 7 48 76 87 34 85 35 33 53 84;
864s, 53 14 35 79 32 31 57 33 72 24 34 65 19 70 34 85 20 45;
864l, 53 43 55 55 35 31 27 35 4 49 51 66 53 18 19 6 53 76;
865s, 17 24 66 33 89 16 79 61;
865l, 35 31 34 35 23 69 34 62;
866s, 44 37 11 31 18 6 37 79 49 76 49 19 17 76 50 34;
866l, 57 89 65 76 48 6 66 70 35 44 20 76 35 23 76 59;
867s, 61 43 49 85 67 31 66 19 76 17 54 23 1 51 27;
867l, 31 34 49 76 2 88 34 76 4 16 4 12 60 33 65;
868s, 12 38 34 27 1 34 12 35 23 58;
868l, 35 20 65 49 60 19 12 33 77 79;
869s, 5 65 49 49 23 33 20 11;
869l, 48 36 23 23 76 55 71 70;
870s, 34 66 31 33 85 85 87 65 51 23 89 48 65 45 31 70 7;
870l, 37 18 32 49 6 76 87 66 51 17 84 58 70 48 55 76 23;
871s, 21 21 34 33 34 91 5 31 34 5 65;
871l, 55 24 34 35 52 91 16 20 34 34 23;
872s, 6 87 53 31 91 13 36 11 87;
872l, 53 21 19 32 24 68 7 52 48;
873s, 6 75 11 49 55 76 34 34 17 16 33;
873l, 6 65 79 49 35 19 19 53 49 37 48;
874s, 70 19 23 78 65 49 62 48 54 31 51 49 21;
874l, 22 62 23 31 7 33 20 61 54 66 51 35 58;
875s, 6 19 55 65 49 24 66 33 16 6 33;
875l, 6 18 55 35 6 49 7 35 37 61 35;
876s, 23 6 58 70 31 2 33 23 49 33 65 84;
