296s, 65;
400s, 48 53 34 5 37 17 12 21 34 53 70 70 35 55 51;
400l, 46 84 34 71 65 71 17 49 62 34 52 30 76 79 67;
401s, 34 65 12 23 34 16 6 52 62 87 70 35;
401l, 62 66 23 2 53 62 49 48 24 21 52 23;
402s, 34 34 2 17 34 35 12 62 24 90 70 49 35;
402l, 77 52 78 24 51 18 33 20 71 68 53 43 75;
403s, 87 90 30 67 91 85 35 55 90 52 33 90 62 56 6 55 35 70 53 32;
403l, 21 68 23 55 71 34 31 71 73 84 32 68 20 21 6 35 56 52 34 24;
404s, 35 24 77 35 6 6 34 90 87 48 87 48 57;
404l, 33 24 65 33 11 62 6 90 45 87 11 87 27;
405s, 24 87 33 6 67 87 34 90 88;
405l, 44 89 12 87 65 24 5 73 3;
406s, 52 7 35 21 70 59 21 24 34 19 34 87 31 70 90;
406l, 23 19 27 6 6 22 12 71 43 2 59 59 31 6 81;
407s, 19 81 34 34 35 34 78 57 58 44 58 70;
407l, 44 90 7 17 33 19 62 23 46 48 46 53;
408s, 79 66 34 85 35 70 70 23 70 35 35 5 35 62 35 11;
408l, 52 27 19 84 55 53 34 50 89 55 65 71 27 67 11 17;
409s, 79 34 65 57 23 34 51 68 35 70 81;
409l, 58 52 89 23 71 37 34 90 50 88 90;
410s, 70 55 51 24 55 5 12 24;
410l, 53 79 34 57 49 35 33 57;
411s, 77 78 27 24 53 23 5 2;
411l, 62 78 61 8 34 17 62 70;
412s, 33 35 87 5 13 74 35 31 17 35 52 70 34 12 85 19 13 24;
412l, 67 50 31 31 41 91 33 89 17 33 34 20 70 76 6 84 41 57;
413s, 75 87 34 35 90 53 34 76 24 70 35 6 34 71 33 87 87 35;
413l, 31 50 78 76 73 23 66 58 30 65 76 85 17 71 76 48 50 44;
414s, 76 17 49 24 53 17 6 65 71 19 43 37;
414l, 27 55 17 57 44 76 61 66 54 89 49 77;
415s, 49 90 55 48 65 52 66 27 87 5 77 17 73 78 7 6 55 32;
415l, 33 68 44 44 19 34 43 24 32 76 34 30 90 78 7 87 31 76;
416s, 73 49 24 78 35 6 41 35 87;
416l, 90 23 57 59 33 89 62 33 32;
417s, 65 7 70 6 71 34 24 87 87 49;
417l, 66 7 6 85 3 43 57 62 31 17;
418s, 36 7 70 24 84 6 71 24 7 23 33;
418l, 20 75 71 30 89 87 74 91 34 51 65;
419s, 59 69 33 31 5 85 58 2;
419l, 75 44 21 71 57 34 89 23;
420s, 85 59 35 75 48 89 62 90 90 6 70 76;
420l, 11 62 33 56 49 6 67 73 73 23 23 58;
421s, 72 23 33 34 67 11 87 79 24 67 35;
421l, 90 51 18 79 44 7 79 58 91 62 33;
422s, 33 35 19 6 24 21 24 53 31;
422l, 65 12 37 62 30 43 91 31 66;
423s, 27 24 70 6 90 34 27 57 46 35 19 53 6 70;
423l, 6 57 43 87 73 89 74 44 23 33 66 53 87 19;
424s, 34 78 32 49 17 71 45 34 70 6 61 17 49 41 35;
424l, 59 34 85 58 31 17 74 37 65 84 51 44 33 50 76;
425s, 7 35 43 36 41 34 70 65 45 53 35 33;
425l, 78 33 75 34 41 34 21 62 44 23 12 34;
426s, 54 84 70 33 23 43 41 65 35 31;
426l, 15 62 53 53 17 23 62 43 33 89;
427s, 33 58 12 90 7 70 87 76 2 85 35 70 36;
427l, 23 20 62 68 20 49 23 71 48 11 33 49 36;
428s, 31 5 65 3 41 36 17 89 70 6 5;
428l, 89 34 65 3 10 57 33 45 62 85 70;
429s, 7 5 34 3 35 87 2 6 65 70 70 6 57 48 36 5 90 6;
429l, 7 62 43 57 33 87 56 87 11 44 44 49 24 48 34 62 49 48;
430s, 48 43 75 70 5 35 7 41 35 23 31 70 90;
430l, 87 44 89 59 70 35 34 50 34 34 45 88 73;
431s, 32 31 87 35 24 49 56 65 90 70 54 6 58 70 34 53 50 33;
431l, 85 70 50 76 57 4 31 89 73 31 15 87 20 31 51 52 31 23;
432s, 34 11 56 34 6 74 54 45 65 19 87 65;
432l, 70 62 56 7 61 57 54 19 19 62 6 66;
433s, 67 70 18 19 56 70 54 61 89 71 51 7 6 85 90 21 23 85 3;
433l, 19 53 6 31 56 65 25 58 56 44 34 11 89 6 73 12 50 84 91;
434s, 70 75 33 35 70 57 62 26 35 21 85 70 34 44;
434l, 61 49 12 24 67 74 31 90 62 58 84 20 85 31;
435s, 21 70 5 56 62 57 90 32 21 35 43;
435l, 7 31 31 31 32 24 68 17 71 16 34;
436s, 34 35 59 35 17 48 89 27 49 12 34 81 23;
436l, 65 76 20 16 61 23 20 87 24 49 34 90 23;
437s, 50 48 65 53 51 70 5 2 58;
437l, 57 87 66 34 7 20 31 34 21;
438s, 35 32 13 70 87 30 89 5 23 2 31 27 65;
